the  la
school-based  en milieu scolaire
reflected  reflété
cobblestone  pavé
outpace  devancer
unfriendly  hostile
rampage  carnage
cameo  camée
interchangeable  interchangeable
hummingbird  colibri
sonnet  sonnet
excluding  à l'exclusion
two-bedroom  deux chambres
potted  mis en pot
dark-haired  aux cheveux noirs
high-priced  cher
traumatize  traumatiser
first-ever  première fois
exasperation  exaspération
tint  teinte
null  nul
pained  peiné
non-western  non-occidental
well-defined  bien défini
gaudy  voyant
rebuttal  réfutation
payer  payeur
tranquility  tranquillité
(vanguard)  (avant-garde)
enchanted  enchanté
waving  agitant
hemp  chanvre
condemned  condamné
nomadic  nomade
petrified  pétrifié
loafer  flâneur
dismount  démonter
asymmetry  asymétrie
secrete  sécréter
submerged  submergé
bode  présager
out-of-state  hors de l'état
carnivore  carnivore
enriched  enrichi
nectar  nectar
fixate  fixer
concluding  final
celibacy  célibat
gatekeeper  portier
hustler  arnaqueur
flunk  rater
drab  terne
misstep  faux pas
denigrate  dénigrer
pedophile  pédophile
enumerate  énumérer
maniac  maniaque
fleeing  fuite
remission  remise
cultivar  cultivar
stuffy  bouché
philosophically  philosophiquement
slalom  slalom
wrest  ravir
chug  souffler
far-fetched  farfelu
restitution  restitution
acquired  acquis
gripping  saisissant
diversified  diversifié
self-serving  égoïste
genitals  organes génitaux
paprika  paprika
cleanliness  propreté
calming  calmant
truffle  truffe
mid-size  taille moyenne
whittle  réduire
antithesis  antithèse
suede  suède
ouch  aie
lattice  treillis
befit  convient
musket  mousquet
lovemaking  faire l'amour
undulating  ondulant
scanning  balayage
tenderly  tendrement
spinner  fileur
justified  justifié
recitation  récitation
stipend  traitement
euphemism  euphémisme
barbaric  barbare
spoiled  gâté
peacetime  temps de paix
ridiculously  ridiculement
practiced  exercé
self-evident  allant de soi
ontological  ontologique
greased  graissé
ticking  tic-tac
refurbish  remettre à neuf
band-aid  pansement
(mecca)  (mecque)
masterful  magistral
redhead  roux
blight  brûlure
left-handed  gaucher
sci-fi  science-fiction
pueblo  pueblo
paleontologist  paléontologiste
weld  souder
actuality  actualité
stub  bout
crippled  estropié
urinate  uriner
thoroughfare  rue
omelet  omelette
non-native  non natif
elated  ravi
(piston)  (piston)
boating  canotage
laundering  blanchissage
presenter  présentateur
errant  errant
meatball  boulette de viande
spectacularly  spectaculairement
cleat  taquet
scalpel  scalpel
ever-changing  en constante évolution
compliant  conforme
thumbnail  miniature
customized  personnalisé
aggressiveness  agressivité
contentment  contentement
sponsored  sponsorisé
warped  voilé
shattering  bouleversant
unzip  décompresser
lingerie  lingerie
outlandish  bizarre
bonnet  bonnet
polygraph  polygraphe
manicured  manucuré
tantamount  équivalent
scotch  scotch
goalie  gardien de but
savory  sarriette
paraphernalia  attirail
droop  affaissement
effortless  sans effort
adversarial  contradictoire
inferiority  infériorité
civil-military  civilo-militaire
bicker  se chamailler
boater  canotier
clique  clique
bemoan  déplorer
moisten  humidifier
puck  palet
cluttered  encombré
palsy  paralysie
strikeout  barré
marshmallow  guimauve
racetrack  piste de course
sacramental  sacramentel
winnings  gains
peppermint  menthe poivrée
lukewarm  tiède
subsume  subsumer
brewery  brasserie
obsess  obséder
bogey  bogey
wiper  essuie-glace
offbeat  décalé
valued  estimé
forthright  franc
homophobia  homophobie
varnish  vernis
underclass  sous-classe
coed  étudiante
lurid  sinistre
invocation  invocation
outlying  périphérique
disinterested  désintéressé
kinetic  cinétique
bubbly  pétillant
acquiesce  acquiescer
sticking  collage
pelt  peau
laureate  lauréat
satanic  satanique
heinous  odieux
disservice  mauvais service
woodwork  boiseries
craftsmanship  artisanat
trope  trope
skipper  skipper
poacher  braconnier
hoot  huée
eight-year-old  huit ans
middle-income  revenu intermédiaire
serotonin  sérotonine
unwarranted  injustifié
anguished  angoissé
tome  tome
humanism  humanisme
side-by-side  cote à cote
louse  pou
pissed  énervé
annexation  annexion
raincoat  imperméable
entomologist  entomologiste
acceptability  acceptabilité
incubator  incubateur
blazing  brûlant
hushed  étouffé
objectionable  répréhensible
avenge  venger
(sterling)  (sterling)
ordination  ordination
meteorologist  météorologue
tic  tic
blacken  noircir
depreciation  dépréciation
fleck  tache
twine  ficelle
poodle  caniche
rye  seigle
stay-at-home  reste à la maison
interrogator  interrogateur
accolade  accolade
potion  potion
cyst  kyste
devaluation  dévaluation
airman  aviateur
recast  refonte
molestation  attentat à la pudeur
moron  imbécile
lucid  lucide
scrapbook  album
sorority  sororité
corny  éculé
turnip  navet
roach  gardon
consumerism  consommation
drafting  rédaction
directional  directionnel
edict  décret
impervious  imperméable
spurn  rejeter
hard-pressed  aux abois
enticing  séduisant
confidant  confident
underage  mineur
exponentially  exponentiellement
bingo  bingo
crux  nœud
refuel  ravitailler
tortured  torturé
lyric  lyrique
wart  verrue
transformative  transformateur
retrain  recycler
anarchist  anarchiste
enliven  animer
locust  criquet
condensed  condensé
sadistic  sadique
slaying  tuer
wryly  ironiquement
exhort  exhorter
predetermined  prédéterminé
slat  latte
air-conditioned  climatisé
insulated  isolé
philanthropic  philanthropique
scum  écume
earnestly  sérieusement
slider  glissière
lovable  aimable
masturbation  masturbation
buoyant  flottable
acquittal  acquittement
disillusion  désillusion
uptown  centre-ville
humanist  humaniste
saver  épargnant
graciously  gracieusement
charged  accusé
lifespan  durée de vie
acupuncture  acupuncture
jerky  saccadé
syllabus  programme
cast-iron  fonte
underrepresented  sous-représenté
censure  censurer
whomever  qui que ce soit
breakout  éclater
teacher-librarian  enseignant-bibliothécaire
autistic  autistique
perceptive  perspicace
filth  saleté
motivator  facteur de motivation
slimy  visqueux
grasshopper  sauterelle
pander  entremetteur
condensation  condensation
righteousness  droiture
wistful  mélancolique
starship  vaisseau spatial
overarching  primordial
unfurl  déployer
warplane  avion de guerre
dispersal  dispersion
hypnosis  hypnose
tonal  tonal
intolerant  intolérant
retriever  retriever
mottled  tacheté
ethereal  éthéré
intrepid  intrépide
neoclassical  néoclassique
encroach  empiéter
moisturizer  crème hydratante
mousse  mousse
scavenger  charognard
tongs  pinces
mid-afternoon  milieu d'après-midi
deformity  déformation
panoramic  panoramique
contrive  inventer
washington-based  basée à washington
(laurel)  (laurier)
bluegrass  pâturin
suction  succion
redistribute  redistribuer
neoliberal  néolibéral
childless  sans enfant
queasy  nauséeux
treetop  cime des arbres
picker  cueilleur
gurney  civière
perfectionism  perfectionnisme
libel  calomnie
three-story  trois étages
predation  prédation
isotope  isotope
fissure  fissure
pursuant  conformément
alfalfa  luzerne
condescending  condescendant
evaporation  évaporation
underpin  étayer
sworn  juré
abet  une mise
clergyman  pasteur
dropping  goutte
converter  convertisseur
blatantly  de manière flagrante
standardization  standardisation
terra-cotta  terre cuite
grounding  mise à la terre
grisly  macabre
perplex  embarrasser
defiantly  avec défi
psychometric  psychométrique
swine  porc
forwards  vers l'avant
fussy  pointilleux
pivot  pivot
phantom  fantôme
vaccinate  vacciner
welding  soudage
perfectionist  perfectionniste
envious  envieux
melanoma  mélanome
paparazzi  paparazzi
scandalous  scandaleux
thirty-seven  trente sept
three-time  trois fois
expertly  habilement
deferred  différé
cultured  cultivé
pronunciation  prononciation
pulsar  pulsar
cologne  eau de cologne
pomegranate  grenade
quaker  quaker
catering  restauration
legalization  légalisation
malaise  malaise
gnarled  noueux
swish  bruissement
noxious  nuisible
shaking  tremblement
nab  attraper
volley  volée
siberian  sibérien
defunct  défunt
resounding  retentissant
aerosol  aérosol
astonishingly  étonnamment
atrium  atrium
flourishing  florissant
acorn  gland
(fisher)  (pêcheur)
upstart  parvenu
drowning  noyade
onerous  lourd
ill-fated  malheureux
agonize  tourmenter
hopper  trémie
detectable  détectable
nemesis  némésis
institutionalized  institutionnalisé
annihilate  annihiler
exacting  exigeant
thirty-one  trente et un
vigilante  justicier
peacock  paon
phrasing  formulation
innocently  naïvement
airing  aération
transplantation  transplantation
precocious  précoce
good-natured  personne de bonne nature
indelible  indélébile
awning  store
giraffe  girafe
skyward  vers le ciel
sleazy  sordide
english-language  langue anglaise
cottonwood  peuplier
insatiable  insatiable
entanglement  enchevêtrement
impropriety  inconvenance
communicative  communicatif
bottleneck  goulot
broach  broche
spout  bec
fortified  fortifié
illustrated  illustré
purification  purification
schematic  schématique
cowardly  lâche
reconfigure  reconfigurer
astounding  étonnant
involuntarily  involontairement
justifiable  justifiable
lentils  lentilles
morbidity  morbidité
retiring  sortant
luster  lustre
decomposition  décomposition
sculpted  sculpté
demonize  diaboliser
stockbroker  agent de change
gingerbread  pain d'épice
(garland)  (guirlande)
eternally  éternellement
run-up  élan
unscathed  indemne
ineligible  inéligible
commemoration  commémoration
relent  céder
no-nonsense  pas de bêtises
octopus  poulpe
blockage  obstruction
musty  de moisi
long-awaited  tant attendu
sardine  sardine
braided  tressé
four-year-old  quatre ans
gaunt  décharné
urchin  gamin
cynic  cynique
created  créé
synchronize  synchroniser
perestroika  perestroïka
unsettling  troublant
grimy  crasseux
placard  placard
phobia  phobie
oversize  surdimensionné
rambling  randonnée
purveyor  fournisseur
toenail  ongle
busily  activement
babble  babiller
one-tenth  un dixième
disobey  désobéir
overgrown  trop développé
in-service  en service
breezy  frais
dissenter  dissident
parenthesis  parenthèse
life-size  grandeur nature
barter  troc
crossword  mots croisés
celebratory  festif
golfing  jouer au golf
lonesome  solitaire
uncompromising  intransigeant
well-to-do  aisé
usurp  usurper
queue  file d'attente
rugby  le rugby
toughen  renforcer
inexorably  inexorablement
sternly  sévèrement
conventionally  conventionnellement
subcontractor  sous-traitant
compatriot  compatriote
ready-made  prêt à l'emploi
infiltration  infiltration
conciliatory  conciliatoire
bemused  perplexe
violator  violateur
stanza  strophe
artful  astucieux
regent  régent
boneless  sans os
inhuman  inhumain
proffer  présentation
euthanasia  euthanasie
jumbo  géant
reborn  renaître
spacing  espacement
ammo  munitions
pre-dawn  avant l'aube
(commons)  (chambre des communes)
emigrant  émigrant
dumpster  poubelle
fruitless  infructueux
consign  expédier
rigorously  rigoureusement
received  a reçu
re-emerge  réapparaître
interagency  interagence
furor  scandale
emancipation  émancipation
impotent  impuissant
(telegraph)  (télégraphe)
headway  progrès
empowering  responsabilisant
anoint  oindre
amplifier  amplificateur
particulate  particulaire
launder  blanchir
chloride  chlorure
mangrove  mangrove
terrier  terrier
soulful  émouvant
yoruba  yoruba
partake  participer
azalea  azalée
voluminous  volumineux
aviator  aviateur
ballerina  ballerine
purr  ronronner
inkling  idée
strengthening  renforcement
broiler  gril
multifaceted  multiforme
(daily)  (du quotidien)
embroil  mêler à
montage  montage
cracking  fissuration
steadfast  ferme
siphon  siphon
solicitation  sollicitation
videotaped  filmé
self-proclaimed  autoproclamé
reciprocate  rendre
predictability  prévisibilité
spoils  butin
reliant  dépendant
whaling  pêche à la baleine
nifty  astucieux
self-report  auto-déclaration
second-floor  deuxième étage
megawatt  mégawatt
(carver)  (sculpteur)
epidemiologist  épidémiologiste
iodine  iode
homogeneity  homogénéité
hoe  houe
malady  maladie
propagation  propagation
conspirator  conspirateur
unforgiving  impitoyable
cardinal  cardinal
foolishness  la bêtise
orphaned  orphelin
stubby  trapu
thirty-eight  trente-huit
slumber  sommeil
scathing  cinglant
standstill  arrêt
canteen  cantine
quandary  dilemme
gourd  gourde
hunker  affamé
(profanity)  (impiété)
lopsided  de guingois
categorization  catégorisation
mightily  puissamment
resolutely  résolument
minimalist  minimaliste
insignia  insigne
consulate  consulat
sensuous  sensuel
stainless-steel  acier inoxydable
nicaraguan  nicaraguayen
hilly  vallonné
appendage  appendice
morsel  morceau
referent  référent
departmental  départemental
bulkhead  cloison
abiding  respectueux
extraterrestrial  extra-terrestre
morbid  morbide
miscellaneous  divers
sickle  faucille
talker  parleur
handsomely  généreusement
archetypal  archétypal
grown  grandi
qualifier  qualificatif
trepidation  inquiétude
slut  salope
thermostat  thermostat
stymie  stymie
croon  chantonner
clarinet  clarinette
hubris  orgueil
tendril  vrille
nymph  nymphe
severed  coupé
hypocrite  hypocrite
backwater  marigot
airfare  billet d'avion
concierge  la conciergerie
mid-morning  en milieu de matinée
essayist  essayiste
gleefully  joyeusement
quadrant  quadrant
bazaar  bazar
resell  revendre
re-entry  rentrée
infringement  infraction
scoreboard  tableau de bord
altruism  altruisme
instigate  susciter
headstone  pierre tombale
circuitry  circuits
encryption  chiffrement
stamped  timbré
reasoned  raisonné
maturation  maturation
insinuate  insinuer
fifty-five  cinquante cinq
testimonial  témoignage
renegotiate  renégocier
self-worth  l'estime de soi
(cutout)  (découper)
reggae  reggae
speckled  tacheté
bewildering  déconcertant
waning  déclin
cursory  superficiel
roofing  toiture
collecting  collecte
well-trained  bien formé
undetected  non détecté
buzzing  bourdonnement
surname  nom de famille
wistfully  avec nostalgie
glassy  vitreux
congenital  congénital
sultry  étouffant
intermittently  par intermittence
sapling  jeune arbre
grille  grille
nugget  pépite
archetype  archétype
jiggle  se trémousser
linguistics  linguistique
syntax  syntaxe
unequivocal  sans équivoque
motorized  motorisé
hairline  racine des cheveux
bushy  broussailleux
contiguous  contigu
foreshadow  annoncer
enormity  énormité
attitudinal  attitudinal
kidding  blague
fecal  fécal
cross-sectional  transversale
adamantly  catégoriquement
globular  globulaire
balkan  balkanique
amenable  docile
energy-efficient  a faible consommation
uneducated  sans instruction
labor-intensive  travail intensif
inflow  afflux
triumphantly  triomphalement
inflationary  inflationniste
computer-generated  généré par ordinateur
horrified  horrifié
(herald)  (héraut)
ever-present  toujours présent
dogwood  cornouiller
quickness  rapidité
stacked  empilé
widower  veuf
decompose  décomposer
lichen  lichen
kangaroo  kangourou
practicing  pratiquant
invoice  facturer
cheesy  ringard
leeway  marge de manœuvre
dissection  dissection
preponderance  prépondérance
illuminated  illuminé
he/she  il elle
fickle  inconstant
lithium  lithium
commemorative  commémoratif
maxim  maxime
sampler  échantillonneur
creeping  rampant
brunette  brunette
(polenta)  (polenta)
tolerable  tolérable
pantheon  panthéon
private-sector  secteur privé
great-grandfather  arrière grand père
purist  puriste
boundless  sans bornes
(genesis)  (genèse)
riff  riff
hatchery  couvoir
chairwoman  présidente
gash  entaille
slime  vase
altruistic  altruiste
canine  canin
co-director  co-réalisateur
tamil  tamil
mournful  triste
jigsaw  scie sauteuse
die-hard  inflexible
amorphous  amorphe
decentralization  décentralisation
ire  colère
self-destructive  autodestructeur
israeli-palestinian  israélo-palestinien
five-minute  cinq minutes
streetcar  tramway
top-notch  excellent
aria  aria
saber  sabre
undisputed  incontesté
troublemaker  fauteur de troubles
nine-year-old  neuf ans
wholeheartedly  de tout cœur
self-consciousness  conscience de soi
weakened  affaibli
sabbatical  sabbatique
repulsive  repoussant
testicle  testicule
stereotyping  stéréotype
reheat  réchauffer
gondola  gondole
revulsion  dégoût
packaged  emballé
deceit  tromperie
amiable  aimable
concurrently  simultanément
slosh  patauger
issuing  émission
disordered  désordonné
t-test  test t
frond  fronde
law-abiding  respectueux de la loi
swirling  tourbillonnant
shelve  étagère
woefully  lamentablement
circumference  circonférence
epitome  exemple
structurally  structurellement
demonic  démoniaque
acuity  acuité
lifeboat  canot de sauvetage
adage  adage
ref  réf
pretzel  bretzel
cordless  sans fil
housework  travaux ménagers
hurtful  nuisible
paltry  dérisoire
bough  branche
permanence  la permanence
arbitrarily  arbitrairement
fleece  toison
chariot  char
steeply  fortement
riveting  rivetage
defector  transfuge
annihilation  annihilation
short-sighted  myope
pulley  poulie
treated  traité
deconstruct  déconstruire
succinctly  succinctement
sacrificial  sacrificiel
springboard  tremplin
berate  admonester
encampment  campement
repatriation  rapatriement
finality  finalité
drool  baver
single-parent  parent célibataire
tenderloin  filet
ideologue  idéologue
router  routeur
triplet  triolet
unending  interminable
(falcon)  (faucon)
encapsulate  encapsuler
recline  incliner
syndicate  syndicat
misread  mal interpréter
top-down  de haut en bas
giving  donnant
puny  chétif
projectile  projectile
reassemble  remonter
payday  jour de paie
dill  aneth
mm  millimètre
domesticated  domestiqué
zenith  zénith
restaurateur  restaurateur
unbiased  impartial
jumpsuit  combinaison
unassuming  modeste
unchallenged  incontesté
trapper  trappeur
unannounced  à l'improviste
ruefully  avec regret
liquidity  liquidité
eave  avant-toit
machete  machette
faceless  sans visage
seedy  miteux
panacea  panacée
creaking  grincement
masquerade  mascarade
soundly  profondément
environmentalism  environnementalisme
anchovy  anchois
realignment  réalignement
nightstand  la table de nuit
shambles  pagaille
powered  alimenté
authoritarianism  autoritarisme
sh  sh
insurmountable  insurmontable
wrongful  injustifié
smudge  tache
alleyway  ruelle
starry  étoilé
waterfowl  sauvagine
overseer  surveillant
outdo  surpasser
responder  répondeur
pregame  avant-match
silt  limon
well-dressed  bien habillé
chewing  mastication
fragility  fragilité
hiding  cache
punctuation  ponctuation
weeping  larmes
cross-section  la coupe transversale
time-honored  séculaire
coursework  cours
orgy  orgie
impressed  impressionné
bile  bile
co-write  co-écrire
inconsequential  sans conséquence
epidemiological  épidémiologique
disprove  réfuter
sidekick  acolyte
pruning  taille
relapse  rechute
genteel  distingué
evaluator  évaluateur
two-part  en deux parties
refrigeration  réfrigération
oriented  orienté
chafe  irriter
panamanian  panaméen
burrito  burrito
margarita  margarita
reconstitute  reconstituer
underly  sous-jacent
assail  assaillir
irritated  irrité
biz  affaires
dispenser  distributeur
commercialization  commercialisation
feisty  fougueux
ever-increasing  en constante augmentation
baboon  babouin
endearing  attachant
admiring  admiratif
inset  encart
schoolgirl  écolière
blogger  blogueur
nave  nef
aural  auriculaire
mirage  mirage
coolness  fraîcheur
health-related  liés à la santé
tantalize  émoustiller
forebear  ancêtre
char  carboniser
mayan  maya
ail  tout
sassy  insolent
unfettered  sans entrave
tepid  tiède
psychoanalytic  psychanalytique
passively  passivement
constrict  serrer
defenseless  sans défense
fatten  engraisser
depose  déposer
lifeguard  maître nageur
concise  concis
belittle  rabaisser
secularism  laïcité
zealous  zélé
hangout  lieu de rendez-vous
sterilization  stérilisation
autocratic  autocratique
eccentricity  excentricité
ominously  sinistrement
uprooted  déraciné
boisterous  bruyant
unambiguous  non ambigu
kennel  chenil
deceptively  trompeusement
sizzle  grésiller
feral  sauvage
demeaning  dégradant
(exemplar)  (exemple)
stand-alone  autonome
plunder  pillage
caterer  traiteur
pretrial  avant le procès
antagonist  antagoniste
tutorial  didacticiel
lynching  lynchage
indigent  indigent
roil  rouler
dryly  sèchement
pernicious  pernicieux
mastermind  cerveau
mismatch  décalage
invert  inverser
sketchy  vague
studied  étudié
profusion  profusion
protectionism  protectionnisme
fetish  fétiche
plod  cheminer
trespass  intrusion
scab  gale
throwback  retour
incongruous  incongru
functionally  fonctionnellement
(manor)  (manoir)
downpour  averse
nanotechnology  nanotechnologie
e-commerce  commerce électronique
class-action  recours collectif
pseudonym  pseudonyme
two-year-old  deux ans
cross-examination  contre-interrogatoire
belligerent  belligérant
sellout  vendu
sundown  coucher
purported  prétendu
misplaced  égaré
enshrine  enchâsser
ferocity  férocité
consternation  consternation
flashing  clignotant
homey  intime
gynecologist  gynécologue
smartly  intelligemment
assumed  assumé
messaging  messagerie
flak  flak
enthrall  captiver
overhang  surplomb
lexicon  lexique
aft  à l'arrière
degenerate  dégénérer
molding  moulage
promenade  promenade
disillusionment  désillusion
surcharge  surtaxe
bourgeoisie  bourgeoisie
hostel  hôtel
wholeness  intégrité
knocking  cognement
nautical  nautique
feathered  à plumes
twinge  pincement
first-degree  premier degré
hand-painted  peinte à la main
trembling  tremblant
extrinsic  extrinsèque
recuperate  récupérer
stipulation  stipulation
off-road  hors route
conqueror  conquérant
pretentious  prétentieux
gauntlet  gant
second-class  seconde classe
extradition  extradition
junta  junte
bassist  bassiste
hookup  brancher
psycho  psychopathe
(counterinsurgency)  (contre-insurrection)
passivity  passivité
(jasmine)  (jasmin)
handiwork  ouvrage
whirlpool  tourbillon
mitt  gant
untrained  non formé
hitherto  jusqu'ici
subsystem  sous-système
insurrection  insurrection
allegorical  allégorique
teasing  taquinerie
dammit  merde
fostering  favoriser
jogger  joggeur
dank  humide
abundantly  abondamment
leaguer  ligueur
telecom  télécom
self-respect  respect de soi
tiring  fatigant
tanned  bronzé
crashing  s'écraser
lenient  indulgent
placate  apaiser
comfy  confortable
confirmed  confirmé
unsolicited  non sollicité
layman  profane
engross  absorber
semi-automatic  semi-automatique
embattled  assiégé
unstoppable  inarrêtable
matter-of-factly  en fait
nothingness  le néant
monastic  monastique
laity  laïcs
windowless  sans fenêtre
assent  assentiment
filtration  filtration
convection  convection
persistently  constamment
dispersion  dispersion
subtext  sous-texte
tax-exempt  exonéré d'impôt
rant  diatribe
sweatshop  atelier clandestin
cardigan  cardigan
foreclose  saisir
disrespectful  irrespectueux
unanticipated  imprévu
resettlement  réinstallation
incoherent  incohérent
incandescent  incandescent
digitally  numériquement
normalization  normalisation
rigidly  rigidement
arbitrator  arbitre
silverware  argenterie
jettison  abandonner
yoke  joug
surgically  chirurgicalement
(noncompliance)  (non-conformité)
snare  piège
chagrin  dépit
mythological  mythologique
observant  observateur
gruff  bourru
sightseeing  tourisme
scrambled  brouillé
re-enact  reconstituer
kimono  kimono
multiracial  multiracial
rescind  annuler
parasitic  parasite
fullback  arrière
look-alike  se ressembler
expiration  expiration
expletive  explétif
corrosive  corrosif
slog  bosser
lettering  caractères
retailing  vente au détail
unintentionally  involontairement
tainted  entaché
moot  discutable
poetics  poétique
indeterminate  indéterminé
authorship  paternité
judgmental  jugement
midpoint  milieu
salvadoran  salvadorien
tracker  traqueur
exiled  exilé
tramp  clochard
motley  hétéroclite
slaughterhouse  abattoir
bereft  privé
noisily  bruyamment
shrivel  se ratatiner
gymnast  gymnaste
bequeath  léguer
banjo  banjo
illusory  illusoire
baroque  baroque
lazily  paresseusement
taxing  taxation
leaving  sortie
eucalyptus  eucalyptus
catwalk  passerelle
disingenuous  fourbe
(raven)  (corbeau)
granulate  granulé
spanish-speaking  hispanophone
astrophysicist  astrophysicien
shameless  éhonté
forestall  devancer
okra  gombo
womanhood  féminité
hydroelectric  hydro-électrique
meringue  meringue
three-fourths  trois quarts
ventilator  ventilateur
businesslike  pratique
eroding  éroder
elaborately  minutieusement
haphazard  au hasard
touchy  suceptible
sweetener  édulcorant
colorless  incolore
sojourn  séjour
(commonwealth)  (commonwealth)
papaya  papaye
bondage  esclavage
heretofore  jusqu'ici
itinerant  itinérant
geothermal  géothermique
starlight  lumière des étoiles
curbside  trottoir
asymmetrical  asymétrique
brine  eau salée
graphically  graphiquement
tryout  expérimenter
inappropriately  de manière inappropriée
sordid  sordide
duality  dualité
hitting  frappe
eviction  expulsion
harbinger  présage
vagaries  aléas
(derby)  (derby)
agreed  d'accord
(femme)  (femme)
superfluous  superflu
unmistakably  incontestablement
dialog  dialogue
patronize  fréquenter
congenial  agréable
fanatical  fanatique
mutt  cabot
starkly  franchement
nutshell  coquille de noix
barbershop  salon de coiffure
affable  affable
enterprising  entreprenant
at-large  en général
banal  banal
undercurrent  courant sous-jacent
doomed  condamné
corduroy  velours côtelé
(al-qaeda)  (al-quaïda)
subversion  subversion
uneasiness  malaise
purportedly  soi-disant
self-consciously  consciemment
unwieldy  lourd
urinary  urinaire
respirator  respirateur
motherfucker  connard
stigmatize  stigmatiser
ministerial  ministériel
jaded  blasé
encroachment  empiètement
vindication  justification
dandelion  pissenlit
antagonistic  antagoniste
outstrip  dépasser
reposition  repositionner
adoration  adoration
contending  rivaliser
cheeseburger  cheeseburger
trapped  piégé
indignity  indignité
ground-based  au sol
eminently  éminemment
worshiper  adorateur
uncharted  inexploré
dissimilar  différent
falsify  falsifier
magnate  magnat
principled  de principe
affront  affront
combative  combatif
manicure  manucure
accession  accession
lubricant  lubrifiant
blue-green  bleu vert
canola  colza
misrepresent  dénaturer
supplementary  supplémentaire
airspace  espace aérien
chechen  tchétchène
high-resolution  haute résolution
gelatin  gélatine
deluge  inonder
how-to  comment
redden  rougir
heartache  chagrin
hated  détesté
freudian  freudien
indecent  indécent
storybook  livre de contes
interfaith  interreligieux
cleanly  propre
rabid  enragé
roost  perchoir
skiff  skiff
shuttered  fermé
long-running  de longue durée
crewman  homme d'équipage
(brook)  (ruisseau)
settled  colonisé
buttress  contrefort
cacophony  cacophonie
woolly  laineux
wager  pari
sauna  sauna
experimentally  expérimentalement
detest  détester
squawk  brailler
fervently  avec ferveur
elucidate  élucider
risotto  risotto
virtuoso  virtuose
mutate  subir une mutation
diagonally  en diagonale
weariness  lassitude
all-night  toute la nuit
burdensome  pénible
unattended  sans surveillance
spotless  impeccable
lightness  légèreté
largemouth  grande gueule
invading  envahir
upsetting  bouleversant
rousing  vibrant
incessantly  sans cesse
civil-rights  droits civiques
wandering  errant
earshot  à portée de voix
schoolyard  cour d'école
dissonance  dissonance
darwinian  darwinien
citywide  partout dans la ville
stir-fry  sauté
macro  macro
self-government  autonomie gouvernementale
dietitian  diététicien
aggravated  aggravé
co-chair  coprésident
irrigate  irriguer
moustache  moustache
confectioner  confiseur
stoic  stoïque
yelp  japper
rapture  ravissement
spool  bobine
goldfish  poisson rouge
indiscriminate  aveugle
universality  universalité
exasperated  exaspéré
sprinter  sprinter
stratosphere  stratosphère
flounder  patauger
ordered  commandé
beeper  bip
kiln  four
high-stakes  des enjeux élevés
foundational  fondamental
mexican-american  mexicain américain
abatement  réduction
rundown  fatigué
trying  en essayant
audacious  audacieux
spying  espionnage
mutiny  mutinerie
belatedly  tardivement
anti-inflammatory  anti-inflammatoire
galvanized  galvanisé
goblet  gobelet
fourth-quarter  quatrième trimestre
conifer  conifère
lymphoma  lymphome
abrasive  abrasif
interlude  interlude
wimp  mauviette
chum  ami
labour  la main d'oeuvre
litmus  tournesol
despicable  méprisable
preventable  évitable
barometer  baromètre
inflection  inflexion
uncontrollably  incontrôlable
fuselage  fuselage
maneuvering  manœuvrer
sounding  sondage
mri  irm
talon  talon
deconstruction  déconstruction
intercollegiate  intercollégial
snippet  fragment
feudal  féodal
heartily  chaleureusement
inanimate  inanimé
vernacular  vernaculaire
geologic  géologique
clueless  aucune idée
frenetic  frénétique
liberalize  libéraliser
student-athlete  étudiant-athlète
daydream  rêve
methamphetamine  méthamphétamine
coca  coca
hallowed  sanctifié
betrayed  trahi
degeneration  dégénérescence
reformist  réformiste
(readout)  (lire à haute voix)
down-to-earth  terre à terre
(sultan)  (sultan)
denunciation  dénonciation
topless  aux seins nus
numbness  engourdissement
milling  fraisage
radial  radial
comforter  consolateur
imam  imam
astounded  stupéfait
self-reliance  autonomie
leveraged  à effet de levier
reload  recharger
greenish  verdâtre
mobster  gangster
quagmire  bourbier
dead-end  impasse
bombshell  bombe
antecedent  antécédent
gunpoint  sous la menace d'une arme
electrify  électrifier
abreast  au courant
shh  chut
dupe  dupe
downgrade  rétrograder
putative  putatif
wispy  vaporeux
patently  manifestement
rationalization  rationalisation
modulate  moduler
betting  pari
stumbling  trébuchant
(dominion)  (domination)
expound  exposer
dogmatic  dogmatique
entryway  entrée
avatar  avatar
popularly  populairement
firefly  luciole
dot-com  point-com
adjourn  ajourner
trifle  bagatelle
foreboding  pressentiment
fixing  fixation
figuratively  métaphoriquement
saffron  safran
mink  vison
oncologist  oncologiste
all-important  de la plus haute importance
amphibian  amphibie
multiplication  multiplication
applicability  applicabilité
functionality  fonctionnalité
worksheet  feuille de travail
collusion  connivence
valiant  vaillant
slugger  cogneur
schoolboy  écolier
tidbit  friandise
able-bodied  valide
alienated  aliéné
refractor  réfracteur
(grandpa)  (grand-père)
thong  lanière
subordination  subordination
aesthetically  esthétiquement
navigator  navigateur
metaphorically  métaphoriquement
glider  planeur
half-mile  demi-mille
barb  barbillon
epistemology  épistémologie
callous  insensible
concentric  concentrique
fondle  caresser
mackerel  maquereau
landed  a atterri
rusher  précipiter
rump  croupe
illustrious  illustre
outflow  sortie
(cam)  (came)
forgery  falsification
(raider)  (raider)
carelessly  négligemment
kindle  allumer
matte  mat
ethicist  éthicien
silo  silo
