the  la
harmonize  harmoniser
radish  un radis
crawl  crawl
rekindle  raviver
absent  absent
violet  violet
severance  rupture
furrow  sillon
tireless  infatigable
blip  spot
metaphysics  métaphysique
twin  double
ember  braise
stallion  étalon
jogging  le jogging
dialysis  dialyse
incinerator  incinérateur
plunk  plonk
reprisal  représailles
slash  sabrer
(aspen)  (tremble)
adobe  adobe
semen  sperme
crystallize  cristalliser
pentecostal  pentecôtiste
rip  déchirure
strident  strident
daughter-in-law  belle-fille
hiatus  hiatus
fallacy  erreur
individualistic  individualiste
arbiter  arbitre
measuring  mesure
epidemiology  épidémiologie
exhausting  épuisant
invincible  invincible
hiv-positive  séropositif
forlorn  désespéré
zealot  fanatique
rubbish  déchets
oblique  oblique
ebb  reflux
salespeople  vendeurs
ascending  ascendant
jingle  tinter
exonerate  disculper
patriarchy  patriarcat
selfishness  égoïsme
bayonet  baïonnette
frosted  givré
toaster  grille-pain
thirty-four  trente quatre
poplar  peuplier
pelvic  pelvien
disappearing  disparaître
respectability  respectabilité
revolutionary  révolutionnaire
amnesia  amnésie
impotence  impuissance
prudence  prudence
resolute  résolu
dismissive  dédaigneux
unremarkable  banal
blistering  cloques
uh-oh  euh-oh
dingy  sombre
steely  d'acier
ovary  ovaire
real  réel
wallow  se complaire
flattened  aplati
shale  schiste argileux
scamper  trottiner
drapery  draperie
eradication  éradication
school-based  en milieu scolaire
reflected  reflété
cobblestone  pavé
outpace  devancer
video  vidéo
unfriendly  hostile
rampage  carnage
cameo  camée
interchangeable  interchangeable
cheat  tricher
hummingbird  colibri
sonnet  sonnet
excluding  à l'exclusion
two-bedroom  deux chambres
vacation  vacances
potted  mis en pot
dark-haired  aux cheveux noirs
fray  combat
high-priced  cher
overload  surcharge
traumatize  traumatiser
first-ever  première fois
exasperation  exaspération
tint  teinte
null  nul
pained  peiné
non-western  non-occidental
well-defined  bien défini
zoom  zoom
gaudy  voyant
rebuttal  réfutation
payer  payeur
tranquility  tranquillité
(vanguard)  (avant-garde)
enchanted  enchanté
waving  agitant
hemp  chanvre
condemned  condamné
nomadic  nomade
petrified  pétrifié
loafer  flâneur
dismount  démonter
asymmetry  asymétrie
secrete  sécréter
annual  annuel
submerged  submergé
bode  présager
out-of-state  hors de l'état
carnivore  carnivore
crackle  crépiter
enriched  enrichi
nectar  nectar
fixate  fixer
concluding  final
celibacy  célibat
gatekeeper  portier
hustler  arnaqueur
flunk  rater
drab  terne
misstep  faux pas
more  suite
denigrate  dénigrer
pedophile  pédophile
enumerate  énumérer
maniac  maniaque
fleeing  fuite
remission  remise
cultivar  cultivar
stuffy  bouché
philosophically  philosophiquement
slalom  slalom
wrest  ravir
chug  souffler
far-fetched  farfelu
restitution  restitution
acquired  acquis
gripping  saisissant
diversified  diversifié
self-serving  égoïste
genitals  organes génitaux
paprika  paprika
cleanliness  propreté
calming  calmant
truffle  truffe
mid-size  taille moyenne
whittle  réduire
antithesis  antithèse
suede  suède
ouch  aie
lattice  treillis
befit  convient
musket  mousquet
lovemaking  faire l'amour
x-ray  radiographie
undulating  ondulant
scanning  balayage
tenderly  tendrement
spinner  fileur
justified  justifié
recitation  récitation
stipend  traitement
euphemism  euphémisme
barbaric  barbare
spoiled  gâté
peacetime  temps de paix
ridiculously  ridiculement
practiced  exercé
self-evident  allant de soi
ontological  ontologique
greased  graissé
ticking  tic-tac
refurbish  remettre à neuf
band-aid  pansement
runaway  fuyez
(mecca)  (mecque)
masterful  magistral
redhead  roux
quarter  trimestre
blight  brûlure
left-handed  gaucher
sci-fi  science-fiction
pueblo  pueblo
freelance  free-lance
paleontologist  paléontologiste
weld  souder
actuality  actualité
stub  bout
crippled  estropié
urinate  uriner
thoroughfare  rue
omelet  omelette
non-native  non natif
elated  ravi
tutor  tuteur
(piston)  (piston)
boating  canotage
laundering  blanchissage
presenter  présentateur
errant  errant
meatball  boulette de viande
spectacularly  spectaculairement
cleat  taquet
scalpel  scalpel
ever-changing  en constante évolution
avant-garde  avant-garde
compliant  conforme
thumbnail  miniature
customized  personnalisé
aggressiveness  agressivité
contentment  contentement
sponsored  sponsorisé
warped  voilé
shattering  bouleversant
braid  tresser
premier  premier
unzip  décompresser
lingerie  lingerie
outlandish  bizarre
bonnet  bonnet
polygraph  polygraphe
manicured  manucuré
tantamount  équivalent
scotch  scotch
salvage  sauvetage
goalie  gardien de but
whack  battre
savory  sarriette
paraphernalia  attirail
droop  affaissement
effortless  sans effort
adversarial  contradictoire
inferiority  infériorité
civil-military  civilo-militaire
overflow  débordement
bicker  se chamailler
boater  canotier
clique  clique
bemoan  déplorer
moisten  humidifier
puck  palet
cluttered  encombré
palsy  paralysie
strikeout  barré
serial  en série
marshmallow  guimauve
racetrack  piste de course
slant  incliner
sacramental  sacramentel
winnings  gains
peppermint  menthe poivrée
lukewarm  tiède
subsume  subsumer
additive  additif
brewery  brasserie
leaf  feuille
obsess  obséder
bogey  bogey
wiper  essuie-glace
offbeat  décalé
perk  avantage
valued  estimé
forthright  franc
homophobia  homophobie
varnish  vernis
underclass  sous-classe
coed  étudiante
lurid  sinistre
invocation  invocation
outlying  périphérique
disinterested  désintéressé
kinetic  cinétique
prey  proie
bubbly  pétillant
acquiesce  acquiescer
sticking  collage
pelt  peau
laureate  lauréat
satanic  satanique
heinous  odieux
disservice  mauvais service
caucasian  caucasien
woodwork  boiseries
craftsmanship  artisanat
trope  trope
skipper  skipper
poacher  braconnier
hoot  huée
eight-year-old  huit ans
middle-income  revenu intermédiaire
serotonin  sérotonine
unwarranted  injustifié
anguished  angoissé
tome  tome
humanism  humanisme
side-by-side  cote à cote
louse  pou
pissed  énervé
annexation  annexion
raincoat  imperméable
entomologist  entomologiste
acceptability  acceptabilité
incubator  incubateur
blazing  brûlant
hushed  étouffé
objectionable  répréhensible
avenge  venger
(sterling)  (sterling)
ordination  ordination
meteorologist  météorologue
tic  tic
blacken  noircir
depreciation  dépréciation
fleck  tache
twine  ficelle
belt  ceinture
poodle  caniche
rye  seigle
stay-at-home  reste à la maison
interrogator  interrogateur
accolade  accolade
potion  potion
cyst  kyste
devaluation  dévaluation
airman  aviateur
recast  refonte
molestation  attentat à la pudeur
moron  imbécile
lucid  lucide
scrapbook  album
sorority  sororité
corny  éculé
turnip  navet
maiden  jeune fille
roach  gardon
consumerism  consommation
drafting  rédaction
directional  directionnel
edict  décret
impervious  imperméable
spurn  rejeter
hard-pressed  aux abois
enticing  séduisant
confidant  confident
underage  mineur
exponentially  exponentiellement
bingo  bingo
crux  nœud
refuel  ravitailler
tortured  torturé
lyric  lyrique
matching  correspondant à
wart  verrue
transformative  transformateur
retrain  recycler
anarchist  anarchiste
enliven  animer
locust  criquet
condensed  condensé
sadistic  sadique
slaying  tuer
wryly  ironiquement
exhort  exhorter
arch  cambre
predetermined  prédéterminé
query  mettre en doute
slat  latte
air-conditioned  climatisé
insulated  isolé
philanthropic  philanthropique
scum  écume
earnestly  sérieusement
slider  glissière
lovable  aimable
masturbation  masturbation
buoyant  flottable
acquittal  acquittement
disillusion  désillusion
uptown  centre-ville
humanist  humaniste
saver  épargnant
graciously  gracieusement
charged  accusé
lifespan  durée de vie
acupuncture  acupuncture
jerky  saccadé
ill  malade
syllabus  programme
cast-iron  fonte
underrepresented  sous-représenté
censure  censurer
whomever  qui que ce soit
breakout  éclater
teacher-librarian  enseignant-bibliothécaire
autistic  autistique
perceptive  perspicace
filth  saleté
motivator  facteur de motivation
slimy  visqueux
newborn  nouveau née
grasshopper  sauterelle
pander  entremetteur
condensation  condensation
righteousness  droiture
wistful  mélancolique
starship  vaisseau spatial
overarching  primordial
unfurl  déployer
warplane  avion de guerre
dispersal  dispersion
hypnosis  hypnose
tonal  tonal
intolerant  intolérant
freak  monstre
retriever  retriever
meet  rencontrer
mottled  tacheté
ethereal  éthéré
intrepid  intrépide
neoclassical  néoclassique
encroach  empiéter
moisturizer  crème hydratante
mousse  mousse
scavenger  charognard
tongs  pinces
mid-afternoon  milieu d'après-midi
deformity  déformation
panoramic  panoramique
contrive  inventer
washington-based  basée à washington
(laurel)  (laurier)
kindly  gentiment
bluegrass  pâturin
suction  succion
redistribute  redistribuer
neoliberal  néolibéral
childless  sans enfant
queasy  nauséeux
treetop  cime des arbres
picker  cueilleur
gurney  civière
perfectionism  perfectionnisme
libel  calomnie
three-story  trois étages
predation  prédation
isotope  isotope
fissure  fissure
pursuant  conformément
alfalfa  luzerne
condescending  condescendant
evaporation  évaporation
underpin  étayer
sworn  juré
abet  une mise
clergyman  pasteur
dropping  goutte
huddle  se blottir
converter  convertisseur
blatantly  de manière flagrante
standardization  standardisation
terra-cotta  terre cuite
grounding  mise à la terre
grisly  macabre
perplex  embarrasser
defiantly  avec défi
interim  intérimaire
psychometric  psychométrique
swine  porc
forwards  vers l'avant
fussy  pointilleux
pivot  pivot
phantom  fantôme
vaccinate  vacciner
welding  soudage
perfectionist  perfectionniste
envious  envieux
melanoma  mélanome
paparazzi  paparazzi
scandalous  scandaleux
thirty-seven  trente sept
three-time  trois fois
expertly  habilement
drunk  ivre
deferred  différé
bleach  eau de javel
cultured  cultivé
pronunciation  prononciation
pulsar  pulsar
cologne  eau de cologne
pomegranate  grenade
quaker  quaker
catering  restauration
legalization  légalisation
malaise  malaise
gnarled  noueux
mug  agresser
swish  bruissement
noxious  nuisible
shaking  tremblement
nab  attraper
volley  volée
siberian  sibérien
defunct  défunt
resounding  retentissant
aerosol  aérosol
astonishingly  étonnamment
atrium  atrium
flourishing  florissant
acorn  gland
(fisher)  (pêcheur)
upstart  parvenu
drowning  noyade
onerous  lourd
ill-fated  malheureux
agonize  tourmenter
hopper  trémie
libertarian  libertaire
detectable  détectable
nemesis  némésis
institutionalized  institutionnalisé
annihilate  annihiler
bicycle  vélo
exacting  exigeant
thirty-one  trente et un
vigilante  justicier
peacock  paon
phrasing  formulation
innocently  naïvement
smirk  petit sourire satisfait
airing  aération
transplantation  transplantation
precocious  précoce
good-natured  personne de bonne nature
indelible  indélébile
barge  barge
awning  store
giraffe  girafe
skyward  vers le ciel
sleazy  sordide
english-language  langue anglaise
cottonwood  peuplier
insatiable  insatiable
entanglement  enchevêtrement
impropriety  inconvenance
communicative  communicatif
bottleneck  goulot
broach  broche
spout  bec
fortified  fortifié
illustrated  illustré
purification  purification
schematic  schématique
cowardly  lâche
reconfigure  reconfigurer
astounding  étonnant
involuntarily  involontairement
justifiable  justifiable
lentils  lentilles
morbidity  morbidité
retiring  sortant
luster  lustre
decomposition  décomposition
sculpted  sculpté
demonize  diaboliser
stockbroker  agent de change
gingerbread  pain d'épice
(garland)  (guirlande)
eternally  éternellement
run-up  élan
unscathed  indemne
ineligible  inéligible
commemoration  commémoration
relent  céder
no-nonsense  pas de bêtises
octopus  poulpe
blockage  obstruction
musty  de moisi
long-awaited  tant attendu
sardine  sardine
braided  tressé
four-year-old  quatre ans
gaunt  décharné
urchin  gamin
cynic  cynique
created  créé
synchronize  synchroniser
perestroika  perestroïka
unsettling  troublant
grimy  crasseux
placard  placard
phobia  phobie
oversize  surdimensionné
rambling  randonnée
purveyor  fournisseur
toenail  ongle
busily  activement
babble  babiller
one-tenth  un dixième
disobey  désobéir
overgrown  trop développé
sap  sève
in-service  en service
breezy  frais
dissenter  dissident
parenthesis  parenthèse
life-size  grandeur nature
barter  troc
crossword  mots croisés
celebratory  festif
golfing  jouer au golf
lonesome  solitaire
uncompromising  intransigeant
well-to-do  aisé
usurp  usurper
queue  file d'attente
rugby  le rugby
toughen  renforcer
inexorably  inexorablement
sternly  sévèrement
rocket  fusée
conventionally  conventionnellement
subcontractor  sous-traitant
compatriot  compatriote
ready-made  prêt à l'emploi
infiltration  infiltration
conciliatory  conciliatoire
veil  voile
bemused  perplexe
violator  violateur
array  déployer
stanza  strophe
artful  astucieux
regent  régent
boneless  sans os
inhuman  inhumain
nightly  chaque nuit
proffer  présentation
euthanasia  euthanasie
jumbo  géant
reborn  renaître
spacing  espacement
ammo  munitions
pre-dawn  avant l'aube
(commons)  (chambre des communes)
emigrant  émigrant
dumpster  poubelle
fruitless  infructueux
consign  expédier
rigorously  rigoureusement
received  a reçu
re-emerge  réapparaître
interagency  interagence
furor  scandale
emancipation  émancipation
impotent  impuissant
(telegraph)  (télégraphe)
headway  progrès
empowering  responsabilisant
anoint  oindre
amplifier  amplificateur
particulate  particulaire
launder  blanchir
chloride  chlorure
mangrove  mangrove
terrier  terrier
soulful  émouvant
yoruba  yoruba
partake  participer
azalea  azalée
voluminous  volumineux
squat  s'accroupir
aviator  aviateur
ballerina  ballerine
purr  ronronner
inkling  idée
strengthening  renforcement
broiler  gril
multifaceted  multiforme
(daily)  (du quotidien)
embroil  mêler à
montage  montage
cracking  fissuration
steadfast  ferme
siphon  siphon
close-up  fermer
solicitation  sollicitation
videotaped  filmé
self-proclaimed  autoproclamé
reciprocate  rendre
predictability  prévisibilité
spoils  butin
reliant  dépendant
drone  drone
whaling  pêche à la baleine
nifty  astucieux
self-report  auto-déclaration
second-floor  deuxième étage
megawatt  mégawatt
(carver)  (sculpteur)
epidemiologist  épidémiologiste
iodine  iode
sabotage  sabotage
homogeneity  homogénéité
hoe  houe
malady  maladie
propagation  propagation
conspirator  conspirateur
unforgiving  impitoyable
cardinal  cardinal
foolishness  la bêtise
orphaned  orphelin
grease  graisse
stubby  trapu
thirty-eight  trente-huit
dab  touche
stone  calcul
slumber  sommeil
scathing  cinglant
standstill  arrêt
canteen  cantine
quandary  dilemme
gourd  gourde
hunker  affamé
(profanity)  (impiété)
lopsided  de guingois
categorization  catégorisation
mightily  puissamment
acoustic  acoustique
resolutely  résolument
minimalist  minimaliste
insignia  insigne
consulate  consulat
sensuous  sensuel
stainless-steel  acier inoxydable
hoot  huée
nicaraguan  nicaraguayen
hilly  vallonné
appendage  appendice
morsel  morceau
referent  référent
departmental  départemental
twitch  tic
bulkhead  cloison
abiding  respectueux
fast  vite
extraterrestrial  extra-terrestre
morbid  morbide
miscellaneous  divers
sickle  faucille
talker  parleur
handsomely  généreusement
archetypal  archétypal
grown  grandi
qualifier  qualificatif
trepidation  inquiétude
slut  salope
thermostat  thermostat
stymie  stymie
croon  chantonner
progressive  progressive
clarinet  clarinette
hubris  orgueil
tendril  vrille
nymph  nymphe
severed  coupé
somewhat  quelque peu
hypocrite  hypocrite
backwater  marigot
airfare  billet d'avion
concierge  la conciergerie
mid-morning  en milieu de matinée
essayist  essayiste
gleefully  joyeusement
quadrant  quadrant
bazaar  bazar
resell  revendre
re-entry  rentrée
infringement  infraction
scoreboard  tableau de bord
altruism  altruisme
instigate  susciter
headstone  pierre tombale
circuitry  circuits
encryption  chiffrement
stamped  timbré
reasoned  raisonné
maturation  maturation
bottle  bouteille
insinuate  insinuer
fifty-five  cinquante cinq
organic  biologique
testimonial  témoignage
renegotiate  renégocier
self-worth  l'estime de soi
(cutout)  (découper)
buoy  bouée
reggae  reggae
speckled  tacheté
bewildering  déconcertant
waning  déclin
cursory  superficiel
roofing  toiture
collecting  collecte
well-trained  bien formé
flush  affleurer
undetected  non détecté
buzzing  bourdonnement
redesign  refonte
surname  nom de famille
wistfully  avec nostalgie
glassy  vitreux
congenital  congénital
sultry  étouffant
intermittently  par intermittence
sapling  jeune arbre
grille  grille
nugget  pépite
archetype  archétype
jiggle  se trémousser
linguistics  linguistique
fence  clôture
syntax  syntaxe
mosaic  mosaïque
unequivocal  sans équivoque
motorized  motorisé
hairline  racine des cheveux
clatter  bruit
cave  la grotte
bushy  broussailleux
contiguous  contigu
foreshadow  annoncer
enormity  énormité
attitudinal  attitudinal
kidding  blague
fecal  fécal
cross-sectional  transversale
adamantly  catégoriquement
globular  globulaire
balkan  balkanique
amenable  docile
energy-efficient  a faible consommation
uneducated  sans instruction
labor-intensive  travail intensif
inflow  afflux
triumphantly  triomphalement
inflationary  inflationniste
computer-generated  généré par ordinateur
horrified  horrifié
(herald)  (héraut)
ever-present  toujours présent
dogwood  cornouiller
quickness  rapidité
stacked  empilé
widower  veuf
warp  chaîne
decompose  décomposer
lichen  lichen
kangaroo  kangourou
practicing  pratiquant
invoice  facturer
cheesy  ringard
wan  blême
bluff  bluffer
leeway  marge de manœuvre
dissection  dissection
preponderance  prépondérance
illuminated  illuminé
he/she  il elle
fickle  inconstant
lithium  lithium
commemorative  commémoratif
maxim  maxime
sampler  échantillonneur
milk  lait
darling  chéri
creeping  rampant
brunette  brunette
broker  courtier
(polenta)  (polenta)
tolerable  tolérable
pantheon  panthéon
private-sector  secteur privé
great-grandfather  arrière grand père
purist  puriste
boundless  sans bornes
(genesis)  (genèse)
riff  riff
hatchery  couvoir
chairwoman  présidente
gash  entaille
slime  vase
altruistic  altruiste
canine  canin
co-director  co-réalisateur
tamil  tamil
mournful  triste
jigsaw  scie sauteuse
die-hard  inflexible
snag  accroc
amorphous  amorphe
default  défaut
decentralization  décentralisation
ire  colère
self-destructive  autodestructeur
israeli-palestinian  israélo-palestinien
five-minute  cinq minutes
streetcar  tramway
top-notch  excellent
aria  aria
saber  sabre
undisputed  incontesté
troublemaker  fauteur de troubles
nine-year-old  neuf ans
wholeheartedly  de tout cœur
self-consciousness  conscience de soi
weakened  affaibli
sabbatical  sabbatique
repulsive  repoussant
testicle  testicule
stereotyping  stéréotype
reheat  réchauffer
gondola  gondole
clearing  clairière
revulsion  dégoût
packaged  emballé
deceit  tromperie
choke  étranglement
amiable  aimable
concurrently  simultanément
slosh  patauger
issuing  émission
disordered  désordonné
t-test  test t
frond  fronde
ebb  reflux
law-abiding  respectueux de la loi
toy  jouet
swirling  tourbillonnant
shelve  étagère
woefully  lamentablement
circumference  circonférence
epitome  exemple
premier  premier
oral  oral
structurally  structurellement
demonic  démoniaque
acuity  acuité
hustle  bousculer
lifeboat  canot de sauvetage
adage  adage
ref  réf
pretzel  bretzel
cordless  sans fil
housework  travaux ménagers
hurtful  nuisible
paltry  dérisoire
bough  branche
permanence  la permanence
arbitrarily  arbitrairement
black  le noir
fleece  toison
chariot  char
steeply  fortement
riveting  rivetage
defector  transfuge
annihilation  annihilation
short-sighted  myope
pulley  poulie
treated  traité
deconstruct  déconstruire
succinctly  succinctement
sacrificial  sacrificiel
poise  équilibre
springboard  tremplin
berate  admonester
grimace  grimace
encampment  campement
repatriation  rapatriement
finality  finalité
drool  baver
single-parent  parent célibataire
tenderloin  filet
ideologue  idéologue
router  routeur
triplet  triolet
unending  interminable
(falcon)  (faucon)
encapsulate  encapsuler
recline  incliner
syndicate  syndicat
handicap  handicap
misread  mal interpréter
top-down  de haut en bas
giving  donnant
puny  chétif
projectile  projectile
cable  câble
dismay  consternation
reassemble  remonter
payday  jour de paie
dill  aneth
binary  binaire
mm  millimètre
domesticated  domestiqué
zenith  zénith
restaurateur  restaurateur
unbiased  impartial
jumpsuit  combinaison
unassuming  modeste
unchallenged  incontesté
trapper  trappeur
unannounced  à l'improviste
ruefully  avec regret
liquidity  liquidité
eave  avant-toit
machete  machette
faceless  sans visage
seedy  miteux
panacea  panacée
motor  moteur
creaking  grincement
masquerade  mascarade
soundly  profondément
environmentalism  environnementalisme
anchovy  anchois
realignment  réalignement
nightstand  la table de nuit
brood  nichée
shambles  pagaille
powered  alimenté
authoritarianism  autoritarisme
sh  sh
insurmountable  insurmontable
wrongful  injustifié
smudge  tache
alleyway  ruelle
starry  étoilé
waterfowl  sauvagine
overseer  surveillant
outdo  surpasser
responder  répondeur
pregame  avant-match
silt  limon
well-dressed  bien habillé
chewing  mastication
fragility  fragilité
hiding  cache
punctuation  ponctuation
weeping  larmes
tumble  chute
cross-section  la coupe transversale
time-honored  séculaire
coursework  cours
orgy  orgie
impressed  impressionné
alright  bien
bile  bile
co-write  co-écrire
inconsequential  sans conséquence
epidemiological  épidémiologique
disprove  réfuter
sidekick  acolyte
pruning  taille
relapse  rechute
genteel  distingué
evaluator  évaluateur
two-part  en deux parties
refrigeration  réfrigération
oriented  orienté
chafe  irriter
panamanian  panaméen
burrito  burrito
margarita  margarita
reconstitute  reconstituer
underly  sous-jacent
assail  assaillir
irritated  irrité
biz  affaires
dispenser  distributeur
refuse  refuser
commercialization  commercialisation
feisty  fougueux
cloak  manteau
ever-increasing  en constante augmentation
baboon  babouin
endearing  attachant
noodle  nouille
admiring  admiratif
inset  encart
schoolgirl  écolière
blogger  blogueur
nave  nef
aural  auriculaire
mirage  mirage
coolness  fraîcheur
health-related  liés à la santé
tantalize  émoustiller
forebear  ancêtre
char  carboniser
mayan  maya
ail  tout
sassy  insolent
somali  somali
unfettered  sans entrave
tepid  tiède
psychoanalytic  psychanalytique
passively  passivement
constrict  serrer
defenseless  sans défense
fatten  engraisser
depose  déposer
lifeguard  maître nageur
concise  concis
belittle  rabaisser
secularism  laïcité
zealous  zélé
hangout  lieu de rendez-vous
sterilization  stérilisation
autocratic  autocratique
eccentricity  excentricité
ominously  sinistrement
uprooted  déraciné
boisterous  bruyant
unambiguous  non ambigu
kennel  chenil
sick  malade
deceptively  trompeusement
sizzle  grésiller
feral  sauvage
demeaning  dégradant
(exemplar)  (exemple)
boast  se vanter
stand-alone  autonome
plunder  pillage
caterer  traiteur
pretrial  avant le procès
antagonist  antagoniste
capital  capitale
tutorial  didacticiel
lynching  lynchage
indigent  indigent
roil  rouler
dryly  sèchement
pernicious  pernicieux
mastermind  cerveau
mismatch  décalage
invert  inverser
masquerade  mascarade
sketchy  vague
toll  sonner
studied  étudié
profusion  profusion
protectionism  protectionnisme
fetish  fétiche
plod  cheminer
trespass  intrusion
scab  gale
throwback  retour
incongruous  incongru
functionally  fonctionnellement
(manor)  (manoir)
downpour  averse
nanotechnology  nanotechnologie
mellow  moelleux
e-commerce  commerce électronique
class-action  recours collectif
pseudonym  pseudonyme
purge  purge
two-year-old  deux ans
cross-examination  contre-interrogatoire
cut  couper
belligerent  belligérant
sellout  vendu
sundown  coucher
purported  prétendu
misplaced  égaré
enshrine  enchâsser
ferocity  férocité
consternation  consternation
flashing  clignotant
homey  intime
gynecologist  gynécologue
smartly  intelligemment
assumed  assumé
messaging  messagerie
flak  flak
scorn  mépris
enthrall  captiver
overhang  surplomb
lexicon  lexique
aft  à l'arrière
degenerate  dégénérer
molding  moulage
cutting  coupe
snarl  gronder
promenade  promenade
disillusionment  désillusion
surcharge  surtaxe
bourgeoisie  bourgeoisie
hostel  hôtel
wholeness  intégrité
knocking  cognement
nautical  nautique
feathered  à plumes
twinge  pincement
first-degree  premier degré
hand-painted  peinte à la main
trembling  tremblant
extrinsic  extrinsèque
functioning  fonctionnement
lumber  bois de charpente
recuperate  récupérer
stipulation  stipulation
off-road  hors route
conqueror  conquérant
pretentious  prétentieux
gauntlet  gant
second-class  seconde classe
extradition  extradition
junta  junte
crease  pli
bassist  bassiste
hookup  brancher
psycho  psychopathe
(counterinsurgency)  (contre-insurrection)
passivity  passivité
(jasmine)  (jasmin)
handiwork  ouvrage
whirlpool  tourbillon
mitt  gant
untrained  non formé
hitherto  jusqu'ici
subsystem  sous-système
insurrection  insurrection
allegorical  allégorique
teasing  taquinerie
dammit  merde
fostering  favoriser
jogger  joggeur
dank  humide
abundantly  abondamment
leaguer  ligueur
telecom  télécom
self-respect  respect de soi
tiring  fatigant
tanned  bronzé
crashing  s'écraser
lenient  indulgent
placate  apaiser
comfy  confortable
confirmed  confirmé
unsolicited  non sollicité
layman  profane
engross  absorber
semi-automatic  semi-automatique
embattled  assiégé
bankrupt  faillite
unstoppable  inarrêtable
troll  troll
matter-of-factly  en fait
nothingness  le néant
monastic  monastique
bottom  bas
divine  divin
laity  laïcs
windowless  sans fenêtre
assent  assentiment
filtration  filtration
convection  convection
persistently  constamment
positive  positif
dispersion  dispersion
subtext  sous-texte
tax-exempt  exonéré d'impôt
feast  le banquet
rant  diatribe
sweatshop  atelier clandestin
cardigan  cardigan
foreclose  saisir
disrespectful  irrespectueux
unanticipated  imprévu
resettlement  réinstallation
incoherent  incohérent
incandescent  incandescent
digitally  numériquement
normalization  normalisation
kuwaiti  koweïtien
censor  censurer
rigidly  rigidement
dent  bosse
arbitrator  arbitre
silverware  argenterie
jettison  abandonner
yoke  joug
breakfast  petit-déjeuner
surgically  chirurgicalement
(noncompliance)  (non-conformité)
spear  lance
snare  piège
balloon  ballon
chagrin  dépit
mythological  mythologique
observant  observateur
gruff  bourru
sightseeing  tourisme
scrambled  brouillé
re-enact  reconstituer
kimono  kimono
multiracial  multiracial
rescind  annuler
parasitic  parasite
vintage  ancien
wild  sauvage
fullback  arrière
look-alike  se ressembler
expiration  expiration
expletive  explétif
corrosive  corrosif
slog  bosser
lettering  caractères
dictate  dicter
retailing  vente au détail
unintentionally  involontairement
tainted  entaché
moot  discutable
poetics  poétique
indeterminate  indéterminé
authorship  paternité
judgmental  jugement
midpoint  milieu
salvadoran  salvadorien
tasting  dégustation
tracker  traqueur
exiled  exilé
tramp  clochard
motley  hétéroclite
slaughterhouse  abattoir
bereft  privé
noisily  bruyamment
shrivel  se ratatiner
imprint  imprimer
gymnast  gymnaste
bequeath  léguer
banjo  banjo
backup  sauvegarde
illusory  illusoire
baroque  baroque
lazily  paresseusement
taxing  taxation
leaving  sortie
eucalyptus  eucalyptus
catwalk  passerelle
disingenuous  fourbe
antioxidant  antioxydant
(raven)  (corbeau)
granulate  granulé
spanish-speaking  hispanophone
astrophysicist  astrophysicien
shameless  éhonté
forestall  devancer
okra  gombo
womanhood  féminité
hydroelectric  hydro-électrique
meringue  meringue
winter  hiver
three-fourths  trois quarts
ventilator  ventilateur
businesslike  pratique
eroding  éroder
elaborately  minutieusement
haphazard  au hasard
touchy  suceptible
sweetener  édulcorant
colorless  incolore
sojourn  séjour
(commonwealth)  (commonwealth)
papaya  papaye
bondage  esclavage
heretofore  jusqu'ici
itinerant  itinérant
geothermal  géothermique
starlight  lumière des étoiles
curbside  trottoir
asymmetrical  asymétrique
brine  eau salée
graphically  graphiquement
tryout  expérimenter
inappropriately  de manière inappropriée
sordid  sordide
duality  dualité
hitting  frappe
eviction  expulsion
harbinger  présage
vagaries  aléas
(derby)  (derby)
wrong  tort
agreed  d'accord
(femme)  (femme)
superfluous  superflu
unmistakably  incontestablement
after  après
dialog  dialogue
patronize  fréquenter
congenial  agréable
fanatical  fanatique
mutt  cabot
starkly  franchement
nutshell  coquille de noix
barbershop  salon de coiffure
plenty  beaucoup
affable  affable
enterprising  entreprenant
at-large  en général
banal  banal
undercurrent  courant sous-jacent
doomed  condamné
corduroy  velours côtelé
(al-qaeda)  (al-quaïda)
shuttle  navette
subversion  subversion
uneasiness  malaise
purportedly  soi-disant
self-consciously  consciemment
unwieldy  lourd
urinary  urinaire
respirator  respirateur
lull  accalmie
motherfucker  connard
stigmatize  stigmatiser
ministerial  ministériel
jaded  blasé
encroachment  empiètement
vindication  justification
dandelion  pissenlit
even  même
compact  compact
antagonistic  antagoniste
outstrip  dépasser
reposition  repositionner
adoration  adoration
contending  rivaliser
cheeseburger  cheeseburger
trapped  piégé
indignity  indignité
ground-based  au sol
eminently  éminemment
worshiper  adorateur
uncharted  inexploré
dissimilar  différent
falsify  falsifier
magnate  magnat
principled  de principe
affront  affront
combative  combatif
manicure  manucure
accession  accession
lubricant  lubrifiant
blue-green  bleu vert
canola  colza
misrepresent  dénaturer
supplementary  supplémentaire
bead  perle
airspace  espace aérien
chechen  tchétchène
high-resolution  haute résolution
gelatin  gélatine
deluge  inonder
how-to  comment
redden  rougir
squeak  grincer
heartache  chagrin
tote  fourre-tout
hated  détesté
freudian  freudien
indecent  indécent
storybook  livre de contes
interfaith  interreligieux
cleanly  propre
wing  aile
rabid  enragé
roost  perchoir
skiff  skiff
shuttered  fermé
long-running  de longue durée
crewman  homme d'équipage
(brook)  (ruisseau)
settled  colonisé
buttress  contrefort
bash  frapper
cacophony  cacophonie
woolly  laineux
wager  pari
